סמל מוסד,שם מוסד,שם מנהל
217224,"ביה""ס הלטיני ראמה",ניבאל חנא
217232,אוסקפויה שפרעם,ניבין עבוד מבאריכי
217257,נזירות נצרת,ראמי סרור
217265,אלאוסופיה,ראניה סאבא
217273,יסודי ב' משהד,עיסאם סולימאן
217281,המשיח האונגלית,אריג' ניג'ם
217299,"אלתסאמוח ע""ש כמאל ג'ונבלאט",ריאד עזאם
217315,אלמותנבי בסחנין,חמד סייד אחמד
217331,אלאמל בית ג'אן ג',הואידה סלאלחה
217349,"יסודי ה' ע""ש שיח אחמד אלח'טיב",מחמוד ח'טיב
217356,יסודי אבן ח'לדון,מחמוד יוסף
217364,יסודי אבן סינא כאבול,מירי קדורה
217372,"בי""ס אלראזי",טאלב חמודה
217380,יסודי ג' טורעאן,נאסר נסאר
217398,יסודי ב'-יפיע,עיסאם חסן
217406,ג'בל סיך,חארת אבו ליל
217422,אלגדיר סכנין,כמאל גנאים
217430,יסודי ב' טובא,ויסאם הייב
217448,אלנהדה ירכא,פארס חרבאוי
217463,יסודי ד',אחמד אמארה
217471,יסודי ינוח ב',חוסיין חמדאן
217489,"ביה""ס היסודי כמאנה",עומר סואעד
217505,יסודי ב' אכסאל,אמג'ד דראושה
217513,יסודי אבן סינא,מוחמד חג'אזי
217521,יסודי ואדי אלעין,סואר שלאעטה
217547,אל זייתון,ח'יתאם שנאוי
217554,אלמוטראן תימותיוס,נג'ם פרח
217810,יסודי בוקעאתא,נאיל אבו עואד
217828,ממלכתי א מגדל שמס,רפיק עוידאת
217836,אלמנאהל,ג'האן ספדי
217844,אלאנואר מסעדה,אומימה אבו שאהין
217851,יסודי אלע'ג'ר,חסן פתאלי
217869,יסודי אלאשראק עין קניה,חסאן בשארה
218024,"אלאמל ע""ש חוסין אבריק",ראאף ג'ומעה
218057,מרשאן שפרעם,יוסף חניפס
218065,ערב אלהיב פרוש רמאנה,מאלק פלאח
218073,אל-רואאה,פריד גרייפה
218081,יסודי אום אלגנם,איאד כחילי סעאידה
218099,אל נג'אח בועינה,סאמר בכר
218107,יסודי ב' בענה,כראמה תיתי
218115,"מ""מ-א ע""ש נאיף קבלאן",ג'אלב דבור
218123,אלראזי- ג'דידה,חסן ח'רינו
218131,ממלכתי ב' גוליס,סנא נבואני
218149,יסודי גוש חלב-ג'יש,רים ח'טיב
218156,אלחכמה ג'ת,נאדיא ביבאר
218164,אלטור דבוריה,היפא מסאלחה
218172,"ע""ש עבד אלעזיז אמון",ג'האן דבאח עואד
218180,ממלכתי ב' דיר חנא,נאסר נסרה
218198,דנון,אנואר עוויד
218206,ואדי אלחמאם,איימן מוחמד
218222,ערב חגיראת מכסור א,זכי חוג'יראת
218230,ביר אל מכסור ב,מוסא גדיר
218248,חורפיש א-סולטאן אלאט,עמאד חוסין
218255,יסודי טובא,עבד אל כרים הייב
218263,יסודי ב' טורעאן,דועא עדוי
218271,יסודי טייבה העמק,חאזם זועבי
218289,יסודי א' טמרה,השאם דיאב
218297,אבו אלרומאן טמרה ב,אילאנה זידאן
218305,טמרה של העמק,ורוד סאלם
218313,יסודי סלמאן פרג',סלימאן חטיב
218321,אלביארוני,אחמד דיאב
218339,ירכא ממלכתי ב,נואל אבו עבלה
218347,אלאמל ירכא,שירין ג'מאל
218354,אלחדיקה,חתאם אשקר
218362,כוכב אבו אלהיגא,עביר אבו אל היג'א
218370,אלמנארה -כסרא,מאלכ נסר אלדין
218388,כפר יסיף ב,סואר תומא סעיד
218404,כפר כנא ב,נג'ם אמארה
218412,כפר כנא א,מוחמד עואודה
218420,יסודי כפר מסר,חסן זועבי
218438,יסודי א' כפר מנדא,עזמי קדח
218446,"בי""ס סמיע ע""ש ד""ר סלמאן פלאח",סועאד מדאח
218453,מגדאלכרום עמר אלחטאב,נזאר זרקאוי
218461,מגדאלכרום אלסלאם,נג'יבה סרחאן
218479,"בית ספר ע""ש נמר עראידה",אסעד אבו זידאן
218487,"יסודי השלום ע""ש זייד בלעוס",דאליא עזאם
218495,יסודי מוקיבלה,מוראד זיאדאת
218503,יסודי מזרעה,חיסין גדבאן
218511,אבן סינא-מכר,ברלנטי אל חאג'
218529,יסודי מעיליא,אליאס עבד
218537,יסודי א' משהד,מריאן אבו אחמד
218545,ממלכתי נאעורה,אחמד זועבי
218552,"בה""ס סאמי עבדאלסלאם",אשרף פטום
218560,יסודי נין,ע'דיר אבו רומחין
218578,מרים בוארדי,ג'והיינה מטר
218586,אלמותנבי,מנאל זרקאוי
218602,גובראן חליל גובראן,תגריד ח'טיב
218610,אלראזי ב,שירין שחאדה
218636,אבראהים טוקאן,דיאנא לואבנה
218651,אל-מג'ד (מסלך),רים הרייש
218669,נצרת אלכרום,חסאן ח'טיב
218677,מאי זיאדה -אלשיכון,דימה אגבאריה עפיפי
218685,יסודי סאגור,סאוסן אבו חמיד
218693,יסודי סולם,אבתהאל זועבי
218719,אלסלאם סכנין,עבדאללה מיעארי
218735,יסודי סנדלה,איה עומרי
218743,יסודי ב' עבדו סלים,אנג'אד אדלבי
218750,יסודי עילבון,רוזא סוייד
218768,עיילוט ב ',עבדאללה חג'אג'רה
218776,אלביאדר עין אלאסד,סאלח בדר
218784,אלביאדר,סוהא אבו ליל
218800,אלאמל עכו,מוחמד ספדי
218826,יסודי עוזיר,עפיף יחיא
218834,אבן סינא עראבה,ח'תאם עליאן
218842,"ע""ש חוסיין יאסין ב",סאפי נסאר
218859,ערב אלגריפאת,גסאן גריפאת
218867,ערב אלחגאגרה,מוחמד חג'אג'רה
218875,ערב אלחלף,כאמל כעביה
218883,ערב אלחרובייה,דיאב סואעד
218891,ערב אלכעבייה,ראג'ח אבו סויד
218909,ערב אלמזאריב,חנין חוג'יראת-אבו רחאל
218925,ערב אלעראמשה,מוחמד מזעל
218933,יסודי שבלי,ג'אודאת שיבלי
218941,אלחואר,תירייז חדאד האשול
218958,פקיעין ממלכתי ב,אכרם ח'ורי
218966,"בי""ס ע""ש סמיח אלקאסם",חאתם דאו
218974,ראס עלי ואלחואלד,מיסון כעביה
218982,נארת,מאג'ד בדר
218990,ריינה ב,סופיאן מוסא
219006,"יסודי ע""ש כאמל סעדה",מוחמד סעדה
219014,יסודי א' שפרעם,זינה עליאן
219022,גבור גבור שפרעם,אימאן אעמר חלאחלה
219030,יסודי תרשיחא,רנדה נחאס
219055,יסודי ד' 'אלשרק',סוהייר פאהום עבד אלראזק
219071,תינאל בית ספר יסודי כפר קמא,לינה נבסו
219089,אלזהרא (ג) טמרה,מוחמד עואד
219097,אלקלעה - קשלה ב',מונתהא עבאס
219105,יסודי ג' שפרעם,עולה ענבתאוי
219113,אלשריף,ערין מג'דוב
219121,אבן סינא סכנין,כמאל ח'לאילה
219147,כפר יאסיף א,הלאל ספייה
219154,יסודי א' טורעאן,נאדיה דחלה
219162,יסודי א' אכסאל,אחמד יחיא
219170,אלכנדי דבוריה,אחלאם זועבי מסאלחה
219188,יסודי א כאבול,מחמוד ריאן
219196,בית ג'אן ממלכתי ב',מוניר זויהד
219204,אבן סינא כפר מנדא,סוהיל עיסאוי
219212,אלעין,סאיד חביב אללה
219220,"אלמחבה ע""ש נגיב ניקולא",מונא ח'יר
219238,סאלח מוחמד ח'לאילה,יוסף דלקי
219246,אלעין,ח'אלד אל אסדי
219253,אלחכמה פקיעין,נג'את בכריה
219261,יסודי בוסמת טבעון,סלוא נעראני
219279,יאפת נצרת א,דאהוד עלי סאלח
219287,אל מנארה,מנאר עלי
219295,אבן עאמר(אבו אלג'יש),רנדה עבד אלהאדי
219303,ממלכתי א' גוליס,ג'דעאן כבישי
219311,ריינה א,קאסם מוסא
219329,נצרת ביר אלאמיר,וסים נסרה
219337,יסודי א'-אלעין,מנאל אעמר
219345,יסודי ואדי סלאמה,פאדי סואעד
219352,מגאר ממלכתי ג,מיעדאד סרחאן
219360,אלנג'אח סכנין,אבראהים זבידאת
219378,יסודי אלבסליה,יאסמין ח'טיב
219402,אלגזאלי עראבה,לינה חלו
219410,יסודי בית זרזיר,סופיאן עיאדאת
219428,"קהילתי מ""מ ג' יפיע",ח'ליל נעראן
219436,"יסודי ד' ע""ש מוחמד סובח",מוופק יאסין
219451,אלראזי טמרה,סמאח עואד
219469,אלנור - ג'דידה,אמין כיאל
219477,עומר אבן אלח'טאב מכר,מימנה רנה עתאמנה
219485,יסודי א' שעב,נאסיר פאעור
219493,יסודי ג' כפר כנא,עביר עואודה
219501,יסודי א' בענה,מונה ח'ליל
219519,אלספא סכנין,טאהר אבו ריא
219527,אל-קסטל (קשלה א'),סירין מג'לי-כנאנה
219535,נצרת אלחורש א',תחריר שרביני
219543,אלגזאלי טמרה ו',יוסף חג'אזי
219550,יסודי ג' אכסאל,עזמי יחיא
219568,אל זייתון,אבראהים נוג'ידאת
219576,יסודי ג' אעבלין,הדיל כיאל
219584,אלזהראא עראבה,עבדאללה עאסלה
219592,יאפת נצרת ד,הדיל כילאני
219600,יסודי א' עילוט,יאסר אבו ראס
219618,מגאר ד ראס אלחבייה,מוחמד שיני
219626,יסודי ג' כפר מנדא,ח'דיג'ה זידאן
219634,אלסביל,עלי סלאמה
219667,אלראזי כפר מנדא(ד'),מחמוד זועבי
219709,יסודי ה' כפר מנדא,מוסטפא עאלם
219717,יסודי ג',מחמוד מסארוה
219725,יסודי חדש משותף,חמדה חילף חמידה
219733,סאלח סמור,רוזה דעקה
219758,יסודי ג' בענה,הבאא עבד אל רחמאן
219774,יסודי אלבורג',עומר ח'אלדי
219782,יסודי אלבוכארי,פיסל עואד
219790,"יסודי ג' ע""ש שיח' יחיא מוחמד",ח'אלד עוסמאן
219808,בית ספר יסודי אאפאק,ספא אסדי
219816,יסודי שכ' ג'משה,לביב סרחאן
219824,יסודי ד' אעבלין,מוחמד גזאוי
219832,ראס אלעין עראבה,ופיקה נסאר
220020,אילנות נהריה,אלינה זאק
220038,איל יסודי עכו,אפרת ספיר
220046,רננים קרית שמונה,רחל מזרחי
220053,קישון רמת דוד,עירית גולן רביב
220103,מיוחד גולני בית שאן,מירב דהן אלוק
220129,כרמים בעמק,רות חייט
220202,בית אורי,שרון מלה
220376,דקלים,מיכל פרי מור
220384,סי פי עפולה,דגנית שטיינהאור
220392,הגליל נהריה,אלון בודנשטיין
220426,"בי""ס שחר",טל סופיר בלחסן
220434,גלעד,אלכסנדר קליין
220442,ניצנים,אמל חמאתי
220459,"בי""ס מיוחד זיו",סמדר ברקוביץ
220475,גלים,ויקטוריה בונדר
220491,"חורשה ע""ש יהודה שביט",מירה ברקן
220509,"בי""ס העמק",יעקב פרידמן
220525,כישורית,אורטל שי פורת
220533,מיתר,גלית שפילר
221937,אפיק נהריה,אורית פיגה רחל מלינה
221945,אור אברהם טשכנוב,שמעון פרוכטהנדלר
222364,יסודי ה',ג'והינה עומר
223362,הדביר החדש,רננה יצחקוב
225128,שיקומי שחפים,ליזה גרין
225888,"בי""ס אזורי חנ""מ שחף",בקי חפץ
226340,סוכת דוד,יאשיהו רצאבי
226506,"ת""ת זכרון גבריאל",אריה ריזל
226670,ברנקו וייס אתגרי בית שמש,מעיין ון לאיוון תורגמן
226688,בית יעקב בית בינה,משה ברוך אינהורן
226803,סמינר בית יעקב,לאה פרלשטין
226811,"ת""ת איילת השחר",תנחום קלטי
227017,בית יעקב תל ציון,יוסף שפירא
227090,"ת""ת המסילה",ישעיהו פישר
227108,יחי ראובן,בן ציון בקר
227421,"בי""ס לבנות ירים משה",מיכל נינו
227439,"ת""ת אבי העזרי",יעקב סגל
227488,אלבירוני עראבה,אחמד נסאר
227496,יסודי אלנג'אח,ג'יהאן הואש
227694,אורט שלומי,אופיר אפרים יהודה גליק
228015,כרם אלסאחב הרשמי,בסמה ג'רג'ורה
228064,סווא,ג'ומאן טנוס נג'אר
228122,משפחה קדושה-נצרת,קארלו פונדריני
228130,אלנור מעון יום טמרה,לינה אבו-אל היג'א
228163,מעון יום אלאמל אעבלי,אמאל טאהא
228205,אלנור סכנין מעון יום,באסם בשיר
228247,"ביה""ס עמלני נצרת",ראפת עזאם
228254,אלנור שפרעם,בלאל גנאים
228262,אחוה כפר מנדא,מונא זידאן
228296,אלרחמה-ג'דידה,דלאל מלחם
228312,רימונים כפר כנא,סחר עומרי טאהא
228338,מעון עדנאן-ירכא,מרוה גאנם
228353,מעון יום בועינה נג'א,לילא סלימאן
228361,אלבסמה,אדמא קבלאן
228379,סווא בית ספר לחינוך מיוחד,אדיבה מוסא
228445,"בי""ס לחינוך מיוחד",בושרה כנג' סירחאן
228494,רנד,זיאד עומרי
228569,אל נור,ג'ומאנה נשאשיבי
228577,אלנהדה,אפנאן עואד
228650,רהאם,סאלח אלחאג'
228668,יסודי השלום,יאסמין אגבאריה
229617,"חיידר אידיש חב""ד",מנחם מנדל כהן
230821,מרכז נוער טבריה,אלה פלק
232884,דרכי יהודה,דקלה אהרונוביץ
232900,"ממ""ד שבטי ישראל",וורן בנימין קיי
232918,גלים,רעות זוהר
234021,אולפנת צביה כוכב יעקב,חגית רבקה מינרבי
234047,ישיבת אמרי חיים ויז'ניץ,אשר ויזניצר
234054,חדוות התלמוד,יצחק רוזנבלט
235051,אלפאראבי,באסל מופלח טאטור
236299,"חב""ד בנים",יחיאל יהודה קופצ'יק
237354,תיכון יחד,שגיב אלבז
237537,"ת""ת מהר""ל ביתר עילית",משה-אורי כהן
237743,אור לציון,מתניה וינברגר
238022,מפתן שפרעם,אקבאל חסון
238048,מפתן תמרה,אחמד יאסין
238055,מפתן מג'אר,רושדי עראידה
238089,מסאר,רולא שומר
238097,תורת-משה שעי קול יעק,נסים שמואל חמואי
238105,"ת""ת אבי העזרי",אוריאל קוק
238113,שובו עכו,תרצה אינהורן
238121,אולפנת נוגה,מרים לאה קורן
238485,"עי""ס אלאימאן בנות",נאילה חליל
238493,יסודי אלאימאן לבנים,דימא אבו אלסעוד
238501,יסודי אלאימאן בנות,מדלין חמורי
238519,"עי""ס אלאימאן בנים",גמאל באשה
238527,ישיבת מאורות,משה כהן
239616,מורשת בית יעקב,שושנה הורוביץ
239814,יסודי ד' כאבול,סייף אל דין בושכאר
239863,מגן הלב בית שמש,רחל קובלסקי
239871,סמהר לבנות,אמאל טחאן
239897,"ג'רוזלם סקול עי""ס",מנאל גבארה
239905,ג'רוזלם סקול יסודי,מג'ד רביע
240010,אורט דנציגר קרית שמונה,עופר זפרני
240036,"מקיף דתי אמי""ת קנדי",איילת כהן
240051,אורט מקיף דתי יהודה עפולה,יהונתן חזי
240077,אורט משה שרת נוף הגליל,שמואל ליידרמן
240085,אורט אולפנת הראל נהריה,שרה לוי
240093,אולפנית לבנות,שמעיה פנחס כרמל
240127,אורט אמירים,חיה עוז
240176,ישיבת בני עקיבא תקות יעקב,מלאכי קאופמן
240192,מקיף רוגוזין,דוד אייל גריסרו
240218,אורט ישיבתית המתמיד קרית שמונה,אריאל פריש
240234,"ישיבה תיכונית אמי""ת צפת",משה שלמה עופר
240267,עמל נופרים בגליל טבריה,דקל ערוסי
240341,מגדל אור,אליעזר יחזקאל גרוסמן
240424,ישיבת שפתי צדיק,חנוך שמעון איזנברג
240440,אזורי ירדן,אילנית הללי יהודה
240457,ישיבה תיכונית חיספין,חיים איזנטל
240465,מקיף אורט מעלות,לודמילה זגורוי
240481,אסיף משגב,רונן ניר
240499,דרכא נופי גולן,הילי מרום
240531,בית יעקב באר מרים,ישראל הרשקוביץ
240572,מקיף ולדורף הרדוף,דגנית גונן עמיר
240580,תיכון חרדי לבנות בית יעקב עכו,סימה בוחבוט
240598,נוה חוה,חיה שרה דיאמנט
240614,עטרת מרדכי,יצחק בן ארוש
240622,ישיבת אלוני הבשן,חיים זאב אנגל
240630,רגבים בגולן,לאה קלינשפיז
240648,תיכון נר הצפון,דוד מנחם
240655,ברנקו וייס גולן,אבי אברהם דביר
240697,מגדל אור,פרננד אופיר טוביאנה
240721,סמינר בית יעקב צפת,ברכה שרה קפלן
240739,"בית לוי יצחק חב""ד",שניאור זלמן לבקיבקר
240747,ישיבת אור מאיר שמחה,דניאל ישראל
240770,מגן אבות,מנחם נתן קניג
240788,תורת חסד בגליל,שלום כהן
240796,ברנקו וייס טבריה,מירה דוכן
240804,ברנקו וייס קריית שמונה,אביחי גולן
240812,ישיבת הזורעים,ניר וינברג
240820,נירים,קרן מושנסקי
240838,"בית רבקה חב""ד",חיה מושקא ריניץ
241018,תת מעיין החינוך אלעד,ריצ'רד מיכאל סדיה
241026,בית יעקב אור רחל,כנרת יצחקי
241034,אלונים,גלית טורג'מן
241042,אלמוג,קורין בן עטר
241059,עופרים,אפרת ולנסי-מטרסו
241067,"דמוקרטי ע""ש נדב",שרי אברהם
242073,יגאל אלון,אילן שמחי
242610,ישיבת נר ישראל,יחיא אדמונד תורג'מן
244103,"אמי""ת תורני מדעי",אביגדור הראל
244111,אולפנת צביה מעלות,רחל ויצמן
244152,אורט שחקים נהריה,שולמית אליקן
244194,"חט""ב היובל",מאיה סימה אור עובד
244210,במעלה טבריה,דנה מור
244228,אולפנת צביה,רויטל ווינטר
244236,ישיבת קרן אורה,אברהם צבי מרגלית
244269,יערת העמק-מגדל העמק,אילן יצחקי
244277,"ת""ת וב""י עמיחי כרמיא",הדסה חיה וקסלר
244285,אורט פסגות,שרה עובד
244343,"מקיף סלמה - משגב ע""ש מחמוד חוסין סועאד",אחמד סואעד
244368,מקיף אורט כרמים,נאוה לפיד
244384,הישיבה אורט טבריה,גלעד מסינג
244418,ישיבת תורת מאיר,מאיר זגורי
244483,בית הספר אמירים כפר ורדים,רחל און
244509,ישיבת טבריה,אחיקם גדעון שבח
244517,ישיבת תומכי תמימים,נחום רפאל ברגר
244566,ברנקו וייס מרום גליל,הילה חורי
244574,אורט מגשימים,גילית יצחקי
244608,בנות תפארת,דבורה ברזילי
244616,"חט""ב קרית חינוך",מינה פרפרה
244624,"אורט ישיבה ע""ש אביתר בית שאן",אמיתי בן פזי
244632,נופי הגליל,יעל גולדמן
246033,אהבת ישראל בנות,פזיה ברכה ראשי
246041,אהבת ישראל,סיון דוד
246983,מגדל אור בנות שלהבת,אסתר לוגסי
247015,טרה סנטה,גאדה מח'ול
247023,סנט גוזף אקליריקי,סמעאן אבו סינה
247031,נזירות פרנציסקניות,רוזית עראף
247049,תיכון בפטיסטי,רובא כרדוש
247056,נזירות סנט גוזף,מיסון חנא
247064,טרה סנטה,אליאס דאו
247072,גמנסיה הגליל הנוצרית,עזמי סרור
247080,נזירות המושיע,עאוני בטחיש
247098,תיכון פה הזהב,עולא סמעאן
247106,תיכון מר אליאס,אליאס אבו גנימה
247122,מקיף ביר אל-מכסור,נואף גדיר
247130,מקיף א'עש שיךס.כניפס,סלמאן אבו עביד
247148,עומר בן אלח'טאב ד',איאת אבו אחמד
247155,"חט""ב ע""ש דר' ג.חורי",נארימאן אבו ג'בל
247163,מקיף דיר חנא,מנאר דגש
247189,"חט""ב פיאד אסדי דיר א",חוסיין אסדי
247205,הפטריאכלי הלטיני,נימר בראנסי
247213,אורט סאג'ור,עופרה דאהר
247221,"בי""ס מקיף השלום דנון",מוחמד אסלאן
247239,מקיף אעבלין,סאלחה אדריס
247247,מקיף אלבוכארי,מרעב עאסלה
247254,מקיף אלסלאם כאבול,עומר ריאן
247262,"חט""ב כפר כנא",עאמר עבאבסה
247288,תיכון משהד,מנאל חסן
247296,"רב תחומי ע""ש מאג'ד ביסאן",וג'יה ברכאת
247304,"חט""ב ב' כפר כנא",בסאם ח'טיב
247312,מכללת גרנאטה לחינוך,פהימה מוסטפא אמארה
247320,עתיד אום אל פחם,מרואן מחאג'נה
247338,"חט""ב יפיע",מוחמד אנעים
247346,טומשין כעביה טבאש חג'אג'רה,מתקאל סבתאן
247387,דרוזי למדעים ומנהיגות דרכא,כמיל שלה
247411,תיכון סנט טרקמנצ'ץ,נארק אברהמיאן
247429,יסודי ו',אנור גאנם
247478,"חט""ב ""אלרואיא""",אנור גביש
247817,תיכון מסעדה,נג'אח אבראהים
247833,דרכא ג'וליס,עביר עבאס
247841,"חט""ב אלעין",סאמור מסאעדה
247858,עיוני מג'דל שמס,תורכי אבו סאלח
247866,רב תחומי עמל אחווה,עבד אל סלאם אבו אחמד
247882,תיכון שיבלי,ג'אנית שיבלי
248013,"מקיף ע""ש יני",מיכאיל ח'ורי
248021,תיכון הגליל,פיסל טאהא
248047,מקיף ראמה,נאדיה פראג'
248062,מקיף תרשיחא,ראנדה אג'א
248070,עירוני מקיף שפרעם,עלי סואעד
248088,תיכון השאם אבו רומי,הישאם חג'אזי
248104,מקיף ב',עפיף עראידה
248112,תיכון אכסאל,עומר שלבי
248138,תיכון טורעאן,עלי גבן
248146,"חט""ב ע""ש תאופיק זיאד",עאישה אחמד חביב אללה
248179,"מקיף בית ג'ן חט""ב המנוח גאלב מ",ג'לאל סעד
248187,"חט""ב ב' ירכא",מאגדולין ח'יזראן
248195,מקיף אבן אלהייתם,זייאד אבו מוך
248203,אלביאן טמרה,עבדאללה אבו אל היג'א
248229,מקיף בוסתן אל מרג',אחמד זועבי
248252,"חט""ב דיר חנא",סעיד ח'טיב
248260,מכללת אלביאן,עלי אבו זיד
248278,בית ספר אלבשאאר,אמיר חאג'
248302,תיכון דיר אל-אסד,מחמוד עומר
248328,תיכון יפיע,נסרין פאיד חטיב
248336,עמל כסרא סמיע,נזיר רבאח
248344,מקיף ג' א. נמר חוסין,מחמוד חמודה
248419,מקיף שש שנתי עתיד פקיעין,לילא עבאס
248427,מקיף ריינה,אחמד בסול
248435,מקיף אל-בטוף,נאסיף עומר
248443,מקיף אלרסאלה,חוסאם עבאס
248534,"מקיף ע""ש עפו פאעור",עדנאן פאעור
248559,אבו-סלים סלמאן אלשיך,רידאן זינאתי
248575,מקיף אבן ח'לדון,אוסאמה כנאענה
248583,מקיף שאעור,נאיף פרחאת
248625,מקיף גדידה,קייסר אנטון
248641,תיכון נחף,היתם קאדרי
248666,רב תחומי עמל זרזיר,פואד גדיר
248674,בסמת טבעון,אבראהים סעדי
248682,"חט""ב אבן ח'לדון",מוחמד חג'אזי
248690,אל אוסקופיה,האני אנדראוס
248708,טהא חוסין סכנין,סלוא אבו ריא
248716,אלחלאן סכנין,אדיב ח'לאילה
248724,המשיח האנגליקאני,וסאם תלחמי
248740,תיכון אלכוארזמי,נאדר חג'אזי
248757,"חט""ע מכר-ג'דידה",ח'ליל מיעארי
248765,"חט""ב ב' כפר מנדא",מחמוד סמחאת
248781,תיכון אורית,שאדיה ספורי
248815,"חט""ב א' כפר מנדא",מוחמד זיאדנה
248823,נוטרדאם,איאד קסיס
248831,על יסודי טכנולוגי,ח'אלד בדארנה
248856,"חט""ב אבן רושד",-
248906,"ת""ת עטרת שלמה",יוסף יחיאל ניסל
249011,"חט""ב עילבון",ביאן נגידאת
249029,"חט""ב א' אבן ח'לדון",אמיר עאבד
249037,תיכון כפר מנדא,מחמוד חואשנה
249045,אל זהראא - ב',לילא אבו אחמד
249052,אבן סינא -חטב ג',אימאן פאהום
249094,מקיף אלחכמה,סלימאן שרארי
249110,מקיף בענה,מוחמד ח'ליל
249136,"חט""ב ע""ש מחמוד דרויש",חוסין סריס
249144,"חט""ב יפיע",שוכרי דהאמשה
249151,"חט""ב אכסאל",מאג'ד אבו אלהיג'ה
249169,"חט""ב אלפראבי",טאהר דיאב
249177,"חט""ב מסעדה",זיד בטחיש
249193,מקיף שש - שנתי,סדיקה פארס
249219,שש שנתי בוקעאתא,עדנאן בחסאס
249235,מקיף בועינה נג'ידאת,סאמי חמודה
249250,מקיף טובא זנגריה,נאשד הייב
249268,"חט""ב ע""ש עאטף חטיב",מועמר סגיר
249284,מקיף אלבטוף עראבה,סמיר נסאר
249300,רב תחומי עמל עילוט,ראניה מנסור
249318,תיכון סלמאן חטיב,עדנאן ח'טיב
260059,"בית הספר העל יסודי שק""ד דרכא",עמרי עמירם
260067,מקיף עינות הירדן,רוית עליזה חסון
260091,הרב תחומי עמק חרוד,לילך שטיין
260109,תיכון אזורי מגידו,ערן יוסף ברסלר
260125,אופק,לילך רחמים
260133,בית החינוך גאון הירדן דרכא,לאורה יהודית זינגר
260182,מקיף עמקים-תבור,נגה בן יעקב
260232,מקיף עמק החולה,עירית הניה פלג ארנון
260240,"כברי חט""ע",אורן דרמון
260257,מקיף העמק המערבי,גיא צליל
260307,מקיף הר וגיא,רוית רוזנטל פלד
260331,מקיף סולם צור,ענת וייס
260471,מקיף מנור,מיכל גל
260489,מקיף גליל מערבי,ימית מרקוביץ
260497,ברנקו וייס אופק מעלה אדומים,קרן ולנסי
261065,דרכא בית ירח,שירלי שבת ספיר
266809,"גוונים חנ""מ",ליאורה ולר
267211,"בי""ס לחנ""מ אלביק",אמאני טאהא
267344,"הר חומה ממ""ד",הודיה עמירה
267351,יוסף לקח בנות,רוני עובד
267468,"קס""ם-קהילה סביבה מקו",חגית דניאל
267476,"בי""ס לחנ""מ אלחקמה",גנאן ג'אבר אסמאעיל
267716,"ת""ת תורה ודעת",נתן פוגל
267724,ישיבת שער השמיים,עמוס ישראל ראבילו
267922,"ב""י נאות רחל",אורה קרח
267930,אלמוסתקבל אלאהלייה,ענאיה אבו סנינה
267955,"ביה""ס אמליסון",וסים עלי
267963,בית יעקב משכנות דעת,רבקה צביה גינצברג
267971,בית יעקב נתיב,בינה מרים בן גיגי
267989,"ת""ת בנין עולם",שמעון דורלכר
268011,אלאמל,ח'אלד סאלח
268029,"טכנולוגי הארמון חנ""מ",וולאא גנאים
270025,רב תחומי עמל בגין צפת,עידית חדד
270033,"כ""ג יורדי הסירה",פרח כהן
270041,אורט מקיף אורן עפולה,מאיה צלר
270140,קמפוס פרס חדשנות ומנהיגות,דוד יוסף
270157,אורט פסגות תיכון דתי ישראלי,ציון יוסף הרוש
270223,הודיות,עופר יהודה ירושלמי
270249,יד חרוצים,שלום גרבי
270280,ישיבת בני עקיבא מירון,מיכאל קאפח
270298,אורט מדעים ואמנויות נהריה,דורית חילאי
270470,"אורט מח""ט בית שאן",יוחנן כהן
270538,מכללה אזורית ע.הירדן,עידו חגאי
270801,בית חנה,שרה חיה ווילשנסקי
271015,מכללת אורט בראודה,סיגל כורם
273086,"בית יעקב רמב""ש",בלומה מרים אידל האגר
277012,דון בוסקו,אבראהים אנדריא
277020,על יסודי משהד,זיאד חסן
278010,מדעים וטכנולוגיה נצרת,חנא אבו אל עסל
278028,מקיף ערבי,מוחמד חג'וג'
278044,"טכנולוגי נעמ""ת שפרעם",קטי בשארה
278051,טכנולוגי נעמת ע.מאהל,פדילה אבו ליל
278176,"טכנולוגי נעמ""ת נחף",סאוסאן קדורה
278184,מרכז חינוך טכנ' נעמת,ליליאן חכים
278234,טכלולוגי נעמת אלכרום,ראניה אסמאעיל
278275,"ב""ס טכנולוגי נעמת",עאידה עואד
278283,תיכון אלביאן סח'נין,פריד חלאילי
280016,נוה עמיאל,יהודה בן שושן
280032,כפר נוער ניר העמק,סיגל אופיר
280057,מקיף חקלאי נהלל,ולריה זילברברג
280065,מקיף חקלאי כדורי,עדנה בז
280115,מקיף אנה פרנק,דפנה גרשוני כהן
282350,"ת""ת קהל חסידים אלעד",בן ציון דויטש
284026,סמינר בית חינוך,הדסה זילברמן
284042,"ב""י חסידי אידיש",אסתר מלכה קירשנבוים
284091,בית יעקב ביתר,חוה רייזיל קנר
284307,משכן חיים,יחזקאל סיטון
288019,תיכון חק' טכ' עתיד ראמה,אנעאם דאוד
288027,"ת""ת יקירי ירושלים",שאול נחום
288076,"ת""ת נפש החיים",אברהם אלכסנדר בלעדי
288100,"ת""ת חזון אברהם שובו",אברהם שריקי
288134,נהרדעא,מנחם מנדל ורדיגר
288159,ישיבת בניין אב,אסתר טובה מלכה ארבה
288167,אור שערים-קרלין סטול,איטה טננהויז
288175,יסודי אבן רושד,אנאס רבאח
